model,accuracy,pod_recall,far,f1_score,auc,tn,fp,fn,tp,threshold
DNN,0.7166123778501629,0.8022813688212928,0.3663663663663664,0.7080536912751678,0.7867093475458495,229,122,52,211,0.5
1D-CNN,0.6775244299674267,0.6159695817490495,0.3745173745173745,0.6206896551724138,0.753772491415077,254,97,101,162,0.5
TCN,0.6921824104234527,0.7452471482889734,0.3836477987421384,0.6746987951807228,0.7768028338370544,229,122,67,196,0.5
